data,dt,ts
"{'location': 'Armenia', 'confirmed': 32151, 'deaths': 573, 'recovered': 19865, 'active': 11713}",07-14-2020,1594684800
"{'location': 'Guatemala', 'confirmed': 29742, 'deaths': 1244, 'recovered': 4321, 'active': 24177}",07-14-2020,1594684800
"{'location': 'Honduras', 'confirmed': 28579, 'deaths': 789, 'recovered': 3123, 'active': 24667}",07-14-2020,1594684800
"{'location': 'Ireland', 'confirmed': 25638, 'deaths': 1746, 'recovered': 23364, 'active': 528}",07-14-2020,1594684800
"{'location': 'Ghana', 'confirmed': 24988, 'deaths': 139, 'recovered': 21067, 'active': 3782}",07-14-2020,1594684800
"{'location': 'Azerbaijan', 'confirmed': 24570, 'deaths': 313, 'recovered': 15640, 'active': 8617}",07-14-2020,1594684800
"{'location': 'Japan', 'confirmed': 22125, 'deaths': 984, 'recovered': 18058, 'active': 3083}",07-14-2020,1594684800
"{'location': 'Algeria', 'confirmed': 19689, 'deaths': 1018, 'recovered': 14019, 'active': 4652}",07-14-2020,1594684800
"{'location': 'Moldova', 'confirmed': 19439, 'deaths': 649, 'recovered': 12793, 'active': 5997}",07-14-2020,1594684800
"{'location': 'Austria', 'confirmed': 18948, 'deaths': 708, 'recovered': 17000, 'active': 1240}",07-14-2020,1594684800
"{'location': 'Serbia', 'confirmed': 18639, 'deaths': 405, 'recovered': 13940, 'active': 4294}",07-14-2020,1594684800
"{'location': 'Nepal', 'confirmed': 16945, 'deaths': 38, 'recovered': 10294, 'active': 6613}",07-14-2020,1594684800
"{'location': 'Morocco', 'confirmed': 15936, 'deaths': 255, 'recovered': 12934, 'active': 2747}",07-14-2020,1594684800
"{'location': 'Cameroon', 'confirmed': 15173, 'deaths': 359, 'recovered': 11928, 'active': 2886}",07-14-2020,1594684800
"{'location': 'Uzbekistan', 'confirmed': 13591, 'deaths': 64, 'recovered': 8030, 'active': 5497}",07-14-2020,1594684800
"{'location': 'Korea, South', 'confirmed': 13512, 'deaths': 289, 'recovered': 12282, 'active': 941}",07-14-2020,1594684800
"{'location': 'Czechia', 'confirmed': 13238, 'deaths': 353, 'recovered': 8373, 'active': 4512}",07-14-2020,1594684800
"{'location': 'Denmark', 'confirmed': 13238, 'deaths': 610, 'recovered': 12331, 'active': 297}",07-14-2020,1594684800
"{'location': ""Cote d'Ivoire"", 'confirmed': 12872, 'deaths': 84, 'recovered': 6810, 'active': 5978}",07-14-2020,1594684800
"{'location': 'Kyrgyzstan', 'confirmed': 11444, 'deaths': 149, 'recovered': 3538, 'active': 7757}",07-14-2020,1594684800
"{'location': 'Sudan', 'confirmed': 10316, 'deaths': 657, 'recovered': 5403, 'active': 4256}",07-14-2020,1594684800
"{'location': 'Kenya', 'confirmed': 10294, 'deaths': 197, 'recovered': 2946, 'active': 7151}",07-14-2020,1594684800
"{'location': 'Australia', 'confirmed': 10251, 'deaths': 108, 'recovered': 7835, 'active': 2308}",07-14-2020,1594684800
"{'location': 'El Salvador', 'confirmed': 9978, 'deaths': 267, 'recovered': 5732, 'active': 3979}",07-14-2020,1594684800
"{'location': 'Venezuela', 'confirmed': 9707, 'deaths': 93, 'recovered': 2671, 'active': 6943}",07-14-2020,1594684800
"{'location': 'Norway', 'confirmed': 8984, 'deaths': 253, 'recovered': 8138, 'active': 593}",07-14-2020,1594684800
"{'location': 'Malaysia', 'confirmed': 8725, 'deaths': 122, 'recovered': 8520, 'active': 83}",07-14-2020,1594684800
"{'location': 'Senegal', 'confirmed': 8198, 'deaths': 150, 'recovered': 5514, 'active': 2534}",07-14-2020,1594684800
"{'location': 'North Macedonia', 'confirmed': 8197, 'deaths': 385, 'recovered': 4326, 'active': 3486}",07-14-2020,1594684800
"{'location': 'Congo (Kinshasa)', 'confirmed': 8075, 'deaths': 190, 'recovered': 3620, 'active': 4265}",07-14-2020,1594684800
"{'location': 'Costa Rica', 'confirmed': 8036, 'deaths': 34, 'recovered': 2304, 'active': 5698}",07-14-2020,1594684800
"{'location': 'Ethiopia', 'confirmed': 7766, 'deaths': 128, 'recovered': 2430, 'active': 5208}",07-14-2020,1594684800
"{'location': 'Bulgaria', 'confirmed': 7411, 'deaths': 276, 'recovered': 3517, 'active': 3618}",07-14-2020,1594684800
"{'location': 'Finland', 'confirmed': 7295, 'deaths': 329, 'recovered': 6800, 'active': 166}",07-14-2020,1594684800
"{'location': 'Bosnia and Herzegovina', 'confirmed': 6981, 'deaths': 226, 'recovered': 3179, 'active': 3576}",07-14-2020,1594684800
"{'location': 'Haiti', 'confirmed': 6727, 'deaths': 141, 'recovered': 3022, 'active': 3564}",07-14-2020,1594684800
"{'location': 'Tajikistan', 'confirmed': 6596, 'deaths': 55, 'recovered': 5278, 'active': 1263}",07-14-2020,1594684800
